17.07.2014 21:07:23 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 enterbus stop 1
17.07.2014 21:07:23 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 standing at the bus stop (704)
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 enterbus stop 0
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 standing at the bus stop (102)
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 leavebus stop 0
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 going to bus stop (68ms)
17.07.2014 21:07:23 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 leavebus stop 1
17.07.2014 21:07:23 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 going to bus stop (701ms)
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 enterbus stop 1
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 standing at the bus stop (165)
17.07.2014 21:07:23 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 0
17.07.2014 21:07:23 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (729ms)
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 leavebus stop 1
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 going to bus stop (262ms)
17.07.2014 21:07:23 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 leavebus stop 1
17.07.2014 21:07:23 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 going to bus stop (932ms)
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 enterbus stop 1
17.07.2014 21:07:23 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 standing at the bus stop (260)
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 enterbus stop 2
17.07.2014 21:07:23 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 standing at the bus stop (127)
17.07.2014 21:07:24 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 leavebus stop 2
17.07.2014 21:07:24 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 going to bus stop (791ms)
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 leavebus stop 1
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 going to bus stop (382ms)
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 enterbus stop 2
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 standing at the bus stop (123)
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 1
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (39)
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 leavebus stop 2
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 going to bus stop (330ms)
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 1
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (12ms)
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 2
17.07.2014 21:07:24 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (978)
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 enterbus stop 2
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 standing at the bus stop (150)
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 enterbus stop 3
17.07.2014 21:07:24 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 standing at the bus stop (455)
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 leavebus stop 2
17.07.2014 21:07:24 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 going to bus stop (270ms)
17.07.2014 21:07:24 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 enterbus stop 2
17.07.2014 21:07:24 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 standing at the bus stop (279)
17.07.2014 21:07:24 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 enterbus stop 3
17.07.2014 21:07:24 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 standing at the bus stop (593)
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 leavebus stop 2
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 going to bus stop (102ms)
17.07.2014 21:07:25 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 leavebus stop 3
17.07.2014 21:07:25 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 going to bus stop (586ms)
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 enterbus stop 3
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 standing at the bus stop (245)
17.07.2014 21:07:25 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 2
17.07.2014 21:07:25 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (999ms)
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 leavebus stop 3
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 going to bus stop (38ms)
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 enterbus stop 4
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.Bus  - Bus 13 standing at the bus stop (104)
17.07.2014 21:07:25 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 leavebus stop 3
17.07.2014 21:07:25 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 going to bus stop (921ms)
17.07.2014 21:07:25 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 enterbus stop 3
17.07.2014 21:07:25 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 standing at the bus stop (628)
17.07.2014 21:07:25 [Thread-2] INFO  by.snitovets.busstops.entity.BusStop  - Bus 13 leavebus stop 4
17.07.2014 21:07:25 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 enterbus stop 4
17.07.2014 21:07:25 [Thread-1] INFO  by.snitovets.busstops.entity.Bus  - Bus 12 standing at the bus stop (444)
17.07.2014 21:07:26 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 leavebus stop 3
17.07.2014 21:07:26 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 going to bus stop (605ms)
17.07.2014 21:07:26 [Thread-1] INFO  by.snitovets.busstops.entity.BusStop  - Bus 12 leavebus stop 4
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 3
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (272)
17.07.2014 21:07:26 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 enterbus stop 4
17.07.2014 21:07:26 [Thread-3] INFO  by.snitovets.busstops.entity.Bus  - Bus 14 standing at the bus stop (745)
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 3
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 going to bus stop (105ms)
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 enterbus stop 4
17.07.2014 21:07:26 [Thread-0] INFO  by.snitovets.busstops.entity.Bus  - Bus 11 standing at the bus stop (874)
17.07.2014 21:07:27 [Thread-3] INFO  by.snitovets.busstops.entity.BusStop  - Bus 14 leavebus stop 4
17.07.2014 21:07:27 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 enterbus stop 4
17.07.2014 21:07:27 [Thread-4] INFO  by.snitovets.busstops.entity.Bus  - Bus 15 standing at the bus stop (493)
17.07.2014 21:07:27 [Thread-0] INFO  by.snitovets.busstops.entity.BusStop  - Bus 11 leavebus stop 4
17.07.2014 21:07:27 [Thread-4] INFO  by.snitovets.busstops.entity.BusStop  - Bus 15 leavebus stop 4
